"","Date","GRAND LARCENY","FELONY ASSAULT","ROBBERY","BURGLARY","GRAND LARCENY OF MOTOR VEHICLE","RAPE","MURDER"
"131",2006-05-11,150,44,76,77,43,2,0
"132",2006-05-12,132,52,59,95,36,3,0
"133",2006-05-13,108,43,62,51,40,2,1
"134",2006-05-14,92,59,62,54,38,2,3
"135",2006-05-15,122,43,73,68,40,2,1
"136",2006-05-16,104,55,72,49,46,0,1
"137",2006-05-17,130,48,51,60,43,3,1
"138",2006-05-18,130,52,69,79,58,5,0
"139",2006-05-19,127,46,76,64,54,4,0
"140",2006-05-20,135,61,55,60,45,2,5
"141",2006-05-21,89,58,57,47,31,3,2
"142",2006-05-22,144,41,66,74,44,4,1
"143",2006-05-23,137,51,63,62,33,2,2
"144",2006-05-24,117,42,66,62,35,4,1
"145",2006-05-25,128,48,62,75,40,3,2
"146",2006-05-26,151,56,66,91,40,2,2
"147",2006-05-27,95,58,69,65,33,5,4
"148",2006-05-28,110,66,61,45,42,6,2
"149",2006-05-29,81,45,54,41,50,3,2
"150",2006-05-30,127,59,74,51,33,3,2
"151",2006-05-31,138,58,64,72,39,5,1
"152",2006-06-01,205,55,65,59,48,24,2
"153",2006-06-02,157,43,63,80,46,5,1
"154",2006-06-03,92,66,62,65,45,3,1
"155",2006-06-04,94,55,70,33,38,1,4
"156",2006-06-05,151,54,62,70,30,3,0
"157",2006-06-06,122,39,73,64,30,3,0
"158",2006-06-07,134,35,78,57,35,2,0
"159",2006-06-08,107,42,46,67,35,2,1
"160",2006-06-09,137,48,58,89,55,7,4
"161",2006-06-10,126,58,50,55,45,2,1
"162",2006-06-11,98,76,58,29,36,3,0
"163",2006-06-12,130,60,57,54,56,1,1
"164",2006-06-13,114,52,62,49,40,4,1
"165",2006-06-14,123,56,86,64,53,2,0
"166",2006-06-15,129,59,66,65,51,6,1
"167",2006-06-16,155,49,65,71,50,2,0
"168",2006-06-17,101,70,59,51,41,4,0
"169",2006-06-18,99,81,68,36,37,3,6
"170",2006-06-19,99,52,54,77,54,5,2
"171",2006-06-20,153,49,49,66,60,2,0
"172",2006-06-21,128,47,70,73,38,7,3
"173",2006-06-22,132,53,80,72,38,2,1
"174",2006-06-23,139,61,83,101,52,6,6
"175",2006-06-24,131,66,64,57,45,3,3
"176",2006-06-25,97,63,64,50,53,3,1
"177",2006-06-26,157,42,69,64,48,3,1
"178",2006-06-27,126,44,76,60,40,0,2
"179",2006-06-28,113,63,65,70,44,1,3
"180",2006-06-29,105,59,61,74,54,4,1
"181",2006-06-30,149,48,80,74,47,6,4
"182",2006-07-01,200,66,62,64,44,20,2
"183",2006-07-02,96,67,55,38,32,6,1
"184",2006-07-03,126,43,66,67,36,4,1
"185",2006-07-04,79,81,55,67,36,2,1
"186",2006-07-05,131,63,60,64,50,1,2
"187",2006-07-06,131,32,59,64,39,2,0
"188",2006-07-07,149,70,66,87,54,7,1
"189",2006-07-08,128,66,54,48,46,7,1
"190",2006-07-09,95,63,67,50,49,5,3
"191",2006-07-10,154,45,57,67,51,2,0
"192",2006-07-11,123,50,67,65,42,3,0
"193",2006-07-12,129,40,56,65,45,3,2
"194",2006-07-13,140,44,58,65,44,5,0
"195",2006-07-14,132,52,66,84,60,2,3
"196",2006-07-15,121,65,69,50,40,7,2
"197",2006-07-16,106,77,59,48,26,3,2
"198",2006-07-17,132,54,72,71,44,4,2
"199",2006-07-18,120,70,57,76,49,3,4
"200",2006-07-19,134,55,67,65,50,3,2
"201",2006-07-20,158,50,71,76,36,6,1
"202",2006-07-21,140,52,78,83,61,0,1
"203",2006-07-22,109,59,76,53,64,4,6
"204",2006-07-23,90,63,76,50,40,6,0
"205",2006-07-24,142,53,61,64,36,1,4
"206",2006-07-25,145,51,81,64,33,3,0
"207",2006-07-26,145,38,56,73,38,10,4
"208",2006-07-27,164,38,65,81,39,1,1
"209",2006-07-28,151,42,81,94,54,3,2
"210",2006-07-29,114,68,68,65,41,3,1
"211",2006-07-30,104,78,68,47,54,7,2
"212",2006-07-31,157,38,76,56,46,3,0
"213",2006-08-01,208,61,67,56,44,19,2
"214",2006-08-02,141,52,56,63,37,1,0
"215",2006-08-03,149,42,61,65,43,2,0
"216",2006-08-04,130,52,68,93,42,2,1
"217",2006-08-05,130,66,68,47,59,6,0
"218",2006-08-06,90,55,64,39,29,4,2
"219",2006-08-07,136,65,68,77,49,7,1
"220",2006-08-08,149,40,72,81,47,4,3
"221",2006-08-09,152,52,63,69,54,4,3
"222",2006-08-10,122,41,71,75,55,3,1
"223",2006-08-11,155,44,54,87,46,1,2
"224",2006-08-12,125,68,68,49,40,2,0
"225",2006-08-13,113,60,57,56,60,5,3
"226",2006-08-14,147,42,63,66,51,2,0
"227",2006-08-15,144,41,59,63,47,0,1
"228",2006-08-16,131,47,63,66,55,3,3
"229",2006-08-17,124,43,61,68,55,3,0
"230",2006-08-18,137,44,77,91,46,4,2
"231",2006-08-19,122,55,81,59,41,2,2
"232",2006-08-20,119,84,77,52,54,5,2
"233",2006-08-21,128,51,59,72,61,5,2
"234",2006-08-22,130,48,73,80,43,2,2
"235",2006-08-23,134,46,67,74,48,5,1
"236",2006-08-24,113,36,63,64,49,7,1
"237",2006-08-25,140,62,81,83,56,5,1
"238",2006-08-26,142,61,60,60,36,6,0
"239",2006-08-27,113,56,75,42,65,7,5
"240",2006-08-28,134,37,66,65,57,4,1
"241",2006-08-29,110,45,72,71,52,3,1
"242",2006-08-30,140,33,79,72,45,7,3
"243",2006-08-31,139,56,57,76,54,6,2
"244",2006-09-01,227,48,53,85,49,19,0
"245",2006-09-02,136,52,57,47,39,6,1
"246",2006-09-03,105,53,57,47,44,1,2
"247",2006-09-04,109,73,65,44,59,6,4
"248",2006-09-05,139,41,63,69,48,4,1
"249",2006-09-06,163,47,42,75,48,4,0
"250",2006-09-07,142,32,55,75,39,2,1
"251",2006-09-08,132,42,67,88,53,2,2
"252",2006-09-09,126,64,70,56,49,3,0
"253",2006-09-10,120,69,73,35,49,5,4
"254",2006-09-11,153,56,75,65,49,2,1
"255",2006-09-12,149,26,66,70,46,2,0
"256",2006-09-13,132,44,62,72,45,2,1
"257",2006-09-14,148,42,84,76,58,2,4
"258",2006-09-15,168,46,73,83,49,4,0
"259",2006-09-16,121,70,57,42,48,5,3
"260",2006-09-17,100,67,56,31,50,1,2
"261",2006-09-18,137,32,56,68,43,1,2
"262",2006-09-19,120,41,66,66,43,3,4
"263",2006-09-20,145,56,95,101,53,3,2
"264",2006-09-21,144,48,69,79,42,0,1
"265",2006-09-22,160,56,83,68,48,4,0
"266",2006-09-23,113,62,98,55,54,4,4
"267",2006-09-24,113,87,106,50,40,7,3
"268",2006-09-25,144,50,64,80,54,5,1
"269",2006-09-26,119,38,75,63,47,3,1
"270",2006-09-27,133,37,94,65,47,2,2
"271",2006-09-28,145,50,79,68,50,2,1
"272",2006-09-29,169,49,68,95,52,4,1
"273",2006-09-30,141,55,82,48,43,6,2
"274",2006-10-01,183,63,76,43,51,10,2
"275",2006-10-02,120,54,65,65,47,3,2
"276",2006-10-03,154,52,75,71,41,3,2
"277",2006-10-04,134,50,50,75,39,3,3
"278",2006-10-05,154,40,76,73,37,4,0
"279",2006-10-06,163,47,84,93,59,6,3
"280",2006-10-07,107,69,66,56,45,3,0
"281",2006-10-08,109,54,70,47,42,5,2
"282",2006-10-09,115,54,70,43,44,5,1
"283",2006-10-10,152,46,80,78,55,2,0
"284",2006-10-11,116,35,64,84,45,5,1
"285",2006-10-12,151,50,73,72,60,2,1
"286",2006-10-13,127,43,85,68,36,4,0
"287",2006-10-14,162,58,66,51,39,7,2
"288",2006-10-15,116,60,74,33,32,4,0
"289",2006-10-16,138,49,88,61,36,1,4
"290",2006-10-17,138,32,46,76,35,3,2
"291",2006-10-18,132,47,69,88,28,4,0
"292",2006-10-19,142,53,70,75,52,2,2
"293",2006-10-20,156,38,87,80,55,5,5
"294",2006-10-21,124,46,80,53,46,7,0
"295",2006-10-22,97,64,73,40,41,0,0
