"","Date","GRAND LARCENY","FELONY ASSAULT","ROBBERY","BURGLARY","GRAND LARCENY OF MOTOR VEHICLE","RAPE","MURDER"
"567",2007-07-21,126,73,64,54,43,6,0
"568",2007-07-22,121,90,51,54,40,4,3
"569",2007-07-23,96,39,63,75,38,0,3
"570",2007-07-24,128,35,59,68,39,0,0
"571",2007-07-25,154,41,66,75,32,1,1
"572",2007-07-26,138,51,58,67,39,2,1
"573",2007-07-27,151,60,58,93,43,2,2
"574",2007-07-28,132,81,79,53,28,1,6
"575",2007-07-29,110,63,76,45,44,6,1
"576",2007-07-30,137,49,61,88,39,6,1
"577",2007-07-31,113,67,79,67,38,2,2
"578",2007-08-01,231,64,59,79,46,12,0
"579",2007-08-02,135,42,60,77,40,2,1
"580",2007-08-03,162,53,66,93,41,5,1
"581",2007-08-04,127,56,62,52,36,8,4
"582",2007-08-05,96,88,47,61,29,5,2
"583",2007-08-06,118,41,73,72,44,3,0
"584",2007-08-07,145,47,76,82,39,2,2
"585",2007-08-08,130,32,53,58,36,4,0
"586",2007-08-09,127,37,58,84,27,2,1
"587",2007-08-10,146,38,74,87,52,2,0
"588",2007-08-11,130,69,53,47,31,3,4
"589",2007-08-12,98,88,68,52,38,5,4
"590",2007-08-13,107,46,67,67,44,2,1
"591",2007-08-14,109,48,62,67,32,1,0
"592",2007-08-15,144,56,66,85,37,3,0
"593",2007-08-16,100,60,61,70,29,3,2
"594",2007-08-17,137,56,69,79,42,4,1
"595",2007-08-18,101,74,53,56,27,3,1
"596",2007-08-19,96,89,49,46,41,5,0
"597",2007-08-20,134,48,76,79,39,2,0
"598",2007-08-21,92,27,75,69,38,3,0
"599",2007-08-22,124,37,48,64,56,3,3
"600",2007-08-23,111,47,56,65,41,1,2
"601",2007-08-24,155,45,61,80,51,2,0
"602",2007-08-25,127,78,72,48,38,3,2
"603",2007-08-26,106,74,69,43,44,5,1
"604",2007-08-27,121,52,66,70,42,2,1
"605",2007-08-28,136,43,65,62,42,3,1
"606",2007-08-29,111,33,68,52,36,6,0
"607",2007-08-30,118,49,58,68,45,1,3
"608",2007-08-31,148,62,60,87,35,5,1
"609",2007-09-01,190,81,60,51,30,16,1
"610",2007-09-02,105,64,49,53,39,6,0
"611",2007-09-03,87,68,51,50,35,6,4
"612",2007-09-04,133,39,64,60,38,8,0
"613",2007-09-05,131,46,67,54,37,3,1
"614",2007-09-06,128,45,52,62,34,2,0
"615",2007-09-07,153,51,59,91,50,3,0
"616",2007-09-08,135,61,75,49,49,2,1
"617",2007-09-09,100,72,56,41,39,4,1
"618",2007-09-10,121,51,78,67,44,1,2
"619",2007-09-11,118,46,64,62,32,3,2
"620",2007-09-12,135,50,68,66,30,5,1
"621",2007-09-13,119,47,57,56,36,3,1
"622",2007-09-14,155,42,72,62,45,3,1
"623",2007-09-15,137,57,78,50,44,5,2
"624",2007-09-16,93,61,53,41,35,3,1
"625",2007-09-17,144,33,72,52,48,2,0
"626",2007-09-18,123,46,78,59,29,2,0
"627",2007-09-19,118,34,64,75,30,1,1
"628",2007-09-20,155,39,68,79,39,2,2
"629",2007-09-21,165,53,76,90,33,5,0
"630",2007-09-22,122,56,68,52,33,4,0
"631",2007-09-23,111,71,59,45,32,7,0
"632",2007-09-24,127,45,74,49,48,3,1
"633",2007-09-25,129,47,81,50,35,2,3
"634",2007-09-26,127,52,76,80,46,2,1
"635",2007-09-27,151,52,81,74,30,2,0
"636",2007-09-28,141,68,76,98,55,2,1
"637",2007-09-29,128,62,70,39,47,1,2
"638",2007-09-30,107,63,72,65,39,3,4
"639",2007-10-01,186,43,79,64,36,14,2
"640",2007-10-02,145,46,76,60,24,4,1
"641",2007-10-03,124,43,65,81,25,3,0
"642",2007-10-04,129,41,68,61,42,3,0
"643",2007-10-05,153,51,83,68,48,4,2
"644",2007-10-06,109,76,65,47,36,4,9
"645",2007-10-07,89,64,75,51,28,6,1
"646",2007-10-08,119,41,62,41,29,2,0
"647",2007-10-09,115,40,81,68,44,5,3
"648",2007-10-10,139,55,67,66,33,3,2
"649",2007-10-11,120,35,70,73,38,2,0
"650",2007-10-12,153,36,67,94,42,3,2
"651",2007-10-13,119,48,50,32,36,6,2
"652",2007-10-14,88,53,63,42,34,2,0
"653",2007-10-15,147,34,60,53,35,3,0
"654",2007-10-16,140,45,58,55,39,4,2
"655",2007-10-17,129,35,79,75,33,6,0
"656",2007-10-18,135,52,78,64,49,1,0
"657",2007-10-19,127,47,72,85,39,0,4
"658",2007-10-20,133,75,80,49,47,4,1
"659",2007-10-21,101,93,78,30,38,4,2
"660",2007-10-22,135,36,66,62,29,5,0
"661",2007-10-23,156,53,98,62,32,3,2
"662",2007-10-24,119,51,66,81,40,2,1
"663",2007-10-25,127,37,81,74,34,3,3
"664",2007-10-26,130,33,89,91,45,5,0
"665",2007-10-27,139,53,80,52,39,8,1
"666",2007-10-28,94,76,63,31,41,4,6
"667",2007-10-29,101,32,87,65,44,0,0
"668",2007-10-30,126,44,71,58,44,4,1
"669",2007-10-31,154,65,84,63,34,3,2
"670",2007-11-01,207,62,74,59,32,12,2
"671",2007-11-02,151,42,61,64,39,3,2
"672",2007-11-03,124,44,53,49,48,3,3
"673",2007-11-04,108,56,54,49,33,2,1
"674",2007-11-05,122,40,72,68,52,3,4
"675",2007-11-06,123,39,74,47,43,2,2
"676",2007-11-07,119,35,71,61,25,4,2
"677",2007-11-08,130,40,71,67,33,3,1
"678",2007-11-09,148,43,79,94,32,1,4
"679",2007-11-10,160,51,54,41,42,4,2
"680",2007-11-11,97,56,62,36,23,4,0
"681",2007-11-12,96,26,58,58,46,2,1
"682",2007-11-13,127,44,73,59,40,2,0
"683",2007-11-14,123,37,63,62,31,0,1
"684",2007-11-15,165,40,65,65,31,3,1
"685",2007-11-16,142,35,72,73,37,1,0
"686",2007-11-17,131,62,66,54,31,2,1
"687",2007-11-18,108,55,52,42,46,4,4
"688",2007-11-19,132,34,59,64,32,2,0
"689",2007-11-20,137,30,64,71,33,1,3
"690",2007-11-21,149,35,79,104,32,4,2
"691",2007-11-22,68,42,38,42,38,1,0
"692",2007-11-23,124,42,43,71,42,4,1
"693",2007-11-24,119,49,44,62,36,2,0
"694",2007-11-25,90,58,64,45,40,3,0
"695",2007-11-26,140,41,87,64,31,3,1
"696",2007-11-27,113,33,67,71,31,2,3
"697",2007-11-28,126,33,60,57,31,3,1
"698",2007-11-29,134,42,67,79,24,3,0
"699",2007-11-30,160,47,87,64,44,2,1
"700",2007-12-01,184,35,54,44,48,8,2
"701",2007-12-02,95,48,41,28,27,3,3
"702",2007-12-03,179,37,67,65,37,3,1
"703",2007-12-04,119,38,64,72,38,2,0
"704",2007-12-05,108,44,61,72,30,1,1
"705",2007-12-06,157,45,60,39,41,2,2
"706",2007-12-07,163,39,77,88,46,4,1
"707",2007-12-08,128,39,64,41,30,2,2
"708",2007-12-09,101,51,58,48,31,3,2
"709",2007-12-10,131,50,64,65,52,6,1
"710",2007-12-11,141,38,55,56,45,4,0
"711",2007-12-12,161,37,69,72,35,1,0
"712",2007-12-13,124,36,62,78,45,6,0
"713",2007-12-14,160,38,62,77,43,6,1
"714",2007-12-15,169,47,57,58,40,4,1
"715",2007-12-16,114,47,64,44,25,4,0
"716",2007-12-17,132,49,57,74,36,2,2
"717",2007-12-18,153,41,76,51,33,3,2
"718",2007-12-19,143,41,73,64,30,0,1
"719",2007-12-20,156,45,86,78,46,2,1
"720",2007-12-21,174,46,110,97,41,5,5
"721",2007-12-22,149,56,74,64,56,3,1
"722",2007-12-23,112,52,65,41,32,4,4
"723",2007-12-24,152,51,68,77,36,1,5
"724",2007-12-25,61,55,43,45,38,4,1
"725",2007-12-26,107,28,66,38,33,5,3
"726",2007-12-27,103,34,48,41,36,3,1
"727",2007-12-28,134,31,61,90,43,2,0
"728",2007-12-29,111,45,69,57,29,4,1
"729",2007-12-30,104,48,60,50,27,5,4
"730",2007-12-31,150,33,65,68,45,2,1
"731",2008-01-01,223,130,53,41,29,47,4
"732",2008-01-02,102,24,49,55,35,2,1
"733",2008-01-03,104,32,63,65,33,4,0
"734",2008-01-04,132,35,61,71,38,6,3
"735",2008-01-05,126,50,66,50,43,4,3
"736",2008-01-06,95,50,73,43,22,2,1
"737",2008-01-07,121,46,73,71,34,4,1
"738",2008-01-08,129,36,70,74,37,6,0
"739",2008-01-09,117,26,55,68,40,4,0
"740",2008-01-10,146,51,70,57,36,2,3
"741",2008-01-11,119,50,88,76,36,2,0
"742",2008-01-12,119,35,62,49,28,1,1
"743",2008-01-13,99,73,40,45,35,4,3
"744",2008-01-14,118,35,72,42,23,4,1
"745",2008-01-15,139,27,60,47,37,4,1
"746",2008-01-16,117,26,73,63,31,3,1
"747",2008-01-17,118,26,57,70,29,2,0
"748",2008-01-18,116,41,65,79,31,3,0
"749",2008-01-19,97,30,51,54,37,3,0
"750",2008-01-20,82,34,60,38,33,2,3
"751",2008-01-21,88,47,49,49,30,4,2
"752",2008-01-22,116,36,73,61,39,5,1
"753",2008-01-23,105,29,61,59,24,3,0
"754",2008-01-24,134,35,63,49,28,2,2
"755",2008-01-25,136,28,64,74,38,1,1
"756",2008-01-26,96,42,56,42,33,3,2
"757",2008-01-27,88,49,53,39,39,3,2
"758",2008-01-28,110,39,69,67,39,0,1
"759",2008-01-29,108,25,45,55,30,0,1
"760",2008-01-30,110,28,67,60,39,3,1
"761",2008-01-31,122,33,45,57,35,1,0
"762",2008-02-01,183,35,50,74,29,11,2
"763",2008-02-02,110,38,60,44,38,4,2
"764",2008-02-03,90,62,59,38,32,3,1
"765",2008-02-04,132,36,54,66,33,4,1
"766",2008-02-05,123,49,62,57,24,3,1
"767",2008-02-06,98,49,70,63,23,3,0
"768",2008-02-07,108,39,57,59,29,1,0
"769",2008-02-08,134,36,52,68,32,7,0
"770",2008-02-09,109,53,53,37,24,0,2
"771",2008-02-10,67,40,37,31,29,5,0
"772",2008-02-11,80,23,44,47,27,3,0
"773",2008-02-12,107,34,45,59,30,1,1
"774",2008-02-13,103,30,53,68,16,5,2
"775",2008-02-14,104,39,50,48,24,7,0
"776",2008-02-15,144,41,72,56,24,5,1
"777",2008-02-16,91,53,49,40,37,2,3
"778",2008-02-17,68,43,38,35,30,3,0
"779",2008-02-18,92,32,50,44,30,1,1
"780",2008-02-19,111,33,45,51,27,4,1
"781",2008-02-20,109,19,44,47,31,3,1
"782",2008-02-21,99,19,37,60,33,4,1
"783",2008-02-22,118,27,45,47,24,6,2
"784",2008-02-23,102,38,50,47,35,2,2
"785",2008-02-24,79,42,38,24,29,3,2
"786",2008-02-25,100,40,39,55,33,4,1
"787",2008-02-26,89,40,57,46,23,2,1
"788",2008-02-27,124,40,63,62,19,1,0
"789",2008-02-28,111,27,39,42,25,1,0
"790",2008-02-29,108,43,44,48,31,1,2
"791",2008-03-01,152,37,52,47,34,15,1
"792",2008-03-02,88,46,49,26,22,5,1
"793",2008-03-03,104,45,61,43,34,5,1
"794",2008-03-04,90,38,41,51,29,3,3
"795",2008-03-05,93,38,56,52,31,5,1
"796",2008-03-06,92,35,44,46,32,5,1
"797",2008-03-07,146,32,53,44,39,2,1
"798",2008-03-08,93,45,46,33,36,10,4
"799",2008-03-09,103,54,48,32,28,2,1
"800",2008-03-10,118,41,49,45,28,3,0
"801",2008-03-11,94,30,42,45,25,1,0
"802",2008-03-12,115,38,51,46,20,3,1
"803",2008-03-13,114,37,64,51,30,2,2
"804",2008-03-14,154,39,58,69,41,5,3
"805",2008-03-15,118,66,48,37,42,4,5
"806",2008-03-16,74,46,50,32,25,5,2
"807",2008-03-17,88,51,51,53,25,2,0
"808",2008-03-18,114,40,63,44,31,2,0
"809",2008-03-19,104,40,58,48,26,3,1
"810",2008-03-20,133,35,60,54,28,2,1
"811",2008-03-21,132,42,41,53,28,4,1
"812",2008-03-22,98,46,56,46,29,6,2
"813",2008-03-23,71,63,40,39,33,4,2
"814",2008-03-24,93,36,51,41,29,4,1
"815",2008-03-25,113,36,49,54,29,4,3
"816",2008-03-26,116,51,50,50,25,0,1
"817",2008-03-27,101,22,54,60,32,1,0
"818",2008-03-28,129,44,57,70,38,4,2
"819",2008-03-29,87,51,50,42,29,3,2
"820",2008-03-30,89,45,46,31,25,2,1
"821",2008-03-31,112,28,67,57,31,1,3
"822",2008-04-01,145,44,58,54,35,14,2
"823",2008-04-02,105,33,55,47,27,4,1
"824",2008-04-03,113,32,61,62,33,2,7
"825",2008-04-04,123,44,63,63,28,2,1
"826",2008-04-05,120,55,44,45,38,0,1
"827",2008-04-06,80,59,53,32,23,2,1
"828",2008-04-07,125,38,58,60,31,3,0
"829",2008-04-08,102,36,45,48,28,1,0
"830",2008-04-09,104,23,60,55,35,3,0
"831",2008-04-10,100,45,61,53,25,0,0
"832",2008-04-11,130,35,59,73,20,6,3
"833",2008-04-12,100,62,53,37,31,3,1
"834",2008-04-13,82,58,40,26,30,4,1
"835",2008-04-14,120,53,50,56,30,6,0
"836",2008-04-15,126,47,44,50,30,2,1
"837",2008-04-16,122,33,57,55,15,3,0
"838",2008-04-17,109,37,52,60,31,0,3
"839",2008-04-18,147,50,65,60,36,4,0
"840",2008-04-19,103,68,50,48,29,4,0
"841",2008-04-20,94,59,67,38,16,4,3
"842",2008-04-21,93,33,57,57,23,0,0
"843",2008-04-22,115,37,41,46,28,3,2
"844",2008-04-23,117,48,63,44,36,3,1
"845",2008-04-24,131,43,40,42,24,2,1
"846",2008-04-25,133,45,60,64,38,2,3
"847",2008-04-26,99,61,77,37,26,2,3
"848",2008-04-27,76,36,58,39,30,4,3
"849",2008-04-28,123,29,52,49,30,5,0
"850",2008-04-29,121,31,54,75,34,3,2
"851",2008-04-30,126,39,60,53,30,1,0
"852",2008-05-01,166,29,57,53,25,12,2
"853",2008-05-02,128,42,59,62,24,3,1
"854",2008-05-03,124,43,41,38,27,5,2
"855",2008-05-04,84,59,53,28,44,5,0
"856",2008-05-05,137,56,60,46,30,0,1
"857",2008-05-06,111,45,60,50,33,2,1
"858",2008-05-07,131,51,58,53,37,1,1
"859",2008-05-08,133,56,63,59,35,5,0
"860",2008-05-09,120,35,49,68,41,1,2
"861",2008-05-10,118,46,54,34,39,4,4
"862",2008-05-11,88,70,44,36,26,7,0
"863",2008-05-12,117,37,57,54,23,3,1
"864",2008-05-13,127,48,63,44,35,2,1
"865",2008-05-14,103,51,69,71,35,5,0
"866",2008-05-15,146,51,54,46,26,3,0
"867",2008-05-16,121,34,63,67,31,1,1
"868",2008-05-17,110,63,34,47,40,3,1
"869",2008-05-18,83,51,65,25,30,0,0
"870",2008-05-19,147,39,55,57,30,1,2
"871",2008-05-20,117,30,57,54,21,2,1
"872",2008-05-21,132,31,71,57,32,3,1
"873",2008-05-22,122,43,63,50,32,2,0
"874",2008-05-23,160,45,69,89,28,2,0
"875",2008-05-24,108,61,52,43,38,3,5
"876",2008-05-25,82,59,48,38,23,3,6
"877",2008-05-26,82,63,72,43,20,3,3
"878",2008-05-27,127,57,81,67,37,1,1
"879",2008-05-28,121,39,70,55,40,4,2
"880",2008-05-29,127,34,61,65,43,2,0
"881",2008-05-30,158,34,57,59,40,2,1
"882",2008-05-31,113,62,52,46,31,6,1
"883",2008-06-01,147,61,53,36,26,20,1
"884",2008-06-02,142,49,73,51,20,1,0
"885",2008-06-03,123,48,62,45,25,3,1
"886",2008-06-04,111,43,61,64,34,1,1
"887",2008-06-05,141,38,48,53,38,1,1
"888",2008-06-06,175,42,56,60,37,4,3
"889",2008-06-07,103,64,73,48,26,2,2
"890",2008-06-08,96,63,52,42,27,3,2
"891",2008-06-09,106,49,58,58,28,2,2
"892",2008-06-10,115,63,67,54,35,6,1
"893",2008-06-11,123,43,64,63,32,5,1
"894",2008-06-12,132,41,65,51,33,0,0
"895",2008-06-13,149,59,69,66,42,4,2
"896",2008-06-14,127,69,63,35,44,4,1
"897",2008-06-15,95,63,48,44,26,5,7
"898",2008-06-16,140,45,74,55,31,5,0
"899",2008-06-17,119,27,72,73,38,3,0
"900",2008-06-18,115,37,53,62,42,2,0
"901",2008-06-19,123,41,69,51,38,2,2
"902",2008-06-20,164,47,73,77,28,6,2
"903",2008-06-21,122,75,62,52,35,3,4
"904",2008-06-22,106,64,55,32,44,3,2
"905",2008-06-23,121,31,52,57,34,6,3
"906",2008-06-24,121,52,76,51,40,5,4
"907",2008-06-25,119,48,63,65,47,3,1
"908",2008-06-26,130,52,78,46,31,3,1
"909",2008-06-27,124,57,60,81,28,5,2
"910",2008-06-28,112,72,51,47,39,3,1
"911",2008-06-29,106,70,56,47,38,6,2
"912",2008-06-30,123,43,55,58,39,2,0
"913",2008-07-01,178,52,66,61,37,9,2
"914",2008-07-02,115,48,64,49,33,2,1
"915",2008-07-03,140,55,71,80,31,3,0
"916",2008-07-04,80,57,55,51,41,0,2
"917",2008-07-05,91,60,51,46,31,2,4
"918",2008-07-06,79,66,46,33,34,6,1
"919",2008-07-07,130,38,40,66,24,2,1
"920",2008-07-08,107,47,54,53,33,5,0
"921",2008-07-09,112,37,67,63,28,4,1
"922",2008-07-10,125,39,45,66,33,5,2
"923",2008-07-11,164,60,65,58,40,3,1
"924",2008-07-12,141,70,60,53,37,3,3
"925",2008-07-13,85,77,66,39,44,4,2
"926",2008-07-14,128,42,64,68,32,2,0
"927",2008-07-15,125,38,62,57,29,6,2
"928",2008-07-16,115,33,52,64,21,3,3
"929",2008-07-17,131,29,58,54,47,5,4
"930",2008-07-18,131,53,58,86,42,3,1
"931",2008-07-19,122,61,75,49,44,3,0
"932",2008-07-20,83,75,67,52,30,5,0
"933",2008-07-21,126,42,69,63,39,5,2
"934",2008-07-22,116,53,66,61,45,3,0
"935",2008-07-23,131,46,74,72,42,3,0
"936",2008-07-24,116,51,58,69,35,0,2
"937",2008-07-25,145,57,76,70,37,2,1
"938",2008-07-26,110,67,61,54,38,6,3
"939",2008-07-27,90,73,59,37,37,4,2
"940",2008-07-28,157,55,79,57,40,4,0
"941",2008-07-29,131,51,63,62,44,3,0
"942",2008-07-30,116,50,68,75,34,1,3
"943",2008-07-31,141,53,63,69,42,1,1
"944",2008-08-01,214,55,85,76,37,13,0
"945",2008-08-02,112,70,56,55,33,4,0
"946",2008-08-03,108,61,71,55,39,5,3
"947",2008-08-04,122,50,58,57,28,3,2
"948",2008-08-05,126,34,58,49,42,3,1
"949",2008-08-06,131,48,55,57,40,1,1
"950",2008-08-07,129,41,59,60,46,2,1
"951",2008-08-08,150,32,61,69,35,5,2
"952",2008-08-09,129,67,63,37,40,2,2
"953",2008-08-10,120,66,68,42,32,2,0
"954",2008-08-11,125,47,63,61,46,1,3
"955",2008-08-12,120,33,55,74,47,3,2
"956",2008-08-13,122,31,63,65,48,1,3
"957",2008-08-14,117,51,76,65,41,6,2
"958",2008-08-15,136,35,62,90,54,3,2
"959",2008-08-16,112,48,63,43,48,2,4
"960",2008-08-17,110,65,63,52,46,6,0
"961",2008-08-18,119,30,61,71,37,3,2
"962",2008-08-19,119,48,58,72,34,6,0
"963",2008-08-20,139,27,68,68,55,3,1
"964",2008-08-21,115,41,85,68,43,2,1
"965",2008-08-22,138,44,71,83,57,6,0
"966",2008-08-23,111,64,59,54,42,7,3
"967",2008-08-24,93,50,76,46,36,5,2
"968",2008-08-25,135,45,53,66,52,5,1
"969",2008-08-26,125,42,60,72,31,1,2
"970",2008-08-27,120,31,57,77,41,2,1
"971",2008-08-28,159,36,66,68,44,2,1
"972",2008-08-29,140,38,59,70,45,2,1
"973",2008-08-30,114,73,70,57,34,4,2
"974",2008-08-31,126,75,60,40,30,5,4
"975",2008-09-01,150,65,64,40,34,23,1
"976",2008-09-02,124,47,62,62,38,3,3
"977",2008-09-03,133,39,62,65,33,1,5
"978",2008-09-04,114,43,55,61,60,1,1
"979",2008-09-05,170,50,62,81,42,3,3
"980",2008-09-06,107,45,61,42,36,5,3
"981",2008-09-07,91,54,62,41,24,3,1
"982",2008-09-08,131,47,70,62,29,4,2
"983",2008-09-09,138,40,75,78,48,2,3
"984",2008-09-10,130,29,53,76,36,2,1
"985",2008-09-11,116,30,64,66,42,4,0
"986",2008-09-12,160,40,61,77,52,3,0
"987",2008-09-13,111,68,67,76,37,2,2
"988",2008-09-14,99,66,61,41,48,3,5
"989",2008-09-15,127,37,77,54,37,2,0
"990",2008-09-16,122,47,65,71,30,0,1
"991",2008-09-17,117,36,68,73,43,3,0
"992",2008-09-18,147,32,70,72,40,3,0
"993",2008-09-19,148,50,87,91,39,3,1
"994",2008-09-20,142,53,60,46,38,4,1
"995",2008-09-21,108,79,48,36,37,1,3
"996",2008-09-22,126,42,84,61,34,2,2
"997",2008-09-23,130,32,69,71,41,2,1
"998",2008-09-24,132,33,67,66,39,2,1
"999",2008-09-25,152,26,63,58,44,1,0
"1000",2008-09-26,131,39,76,106,31,5,2
"1001",2008-09-27,110,62,69,70,34,4,0
"1002",2008-09-28,86,78,67,49,51,3,4
"1003",2008-09-29,134,45,88,63,40,4,1
"1004",2008-09-30,127,45,79,55,27,1,3
"1005",2008-10-01,174,38,71,50,32,15,2
"1006",2008-10-02,107,47,62,78,40,2,1
"1007",2008-10-03,152,30,78,76,43,3,3
"1008",2008-10-04,123,43,63,61,37,6,3
"1009",2008-10-05,107,48,52,33,38,2,0
"1010",2008-10-06,128,30,78,62,38,0,1
"1011",2008-10-07,118,28,54,63,35,3,0
"1012",2008-10-08,127,27,66,64,34,6,1
"1013",2008-10-09,116,41,61,63,45,0,3
"1014",2008-10-10,134,52,76,83,45,4,2
"1015",2008-10-11,111,51,63,56,31,5,0
"1016",2008-10-12,103,55,77,44,36,9,0
"1017",2008-10-13,91,48,75,39,36,1,1
"1018",2008-10-14,143,43,66,78,41,1,3
"1019",2008-10-15,154,40,62,63,37,2,0
"1020",2008-10-16,132,33,63,70,26,2,0
"1021",2008-10-17,140,40,82,81,52,4,0
"1022",2008-10-18,116,49,75,47,44,3,2
"1023",2008-10-19,104,44,55,40,42,2,1
"1024",2008-10-20,136,25,81,67,49,3,1
"1025",2008-10-21,128,34,81,69,44,2,3
"1026",2008-10-22,104,32,60,57,38,3,1
"1027",2008-10-23,119,33,58,70,36,2,2
"1028",2008-10-24,154,53,83,76,42,2,2
"1029",2008-10-25,101,56,67,61,32,3,2
"1030",2008-10-26,109,45,61,36,39,2,3
"1031",2008-10-27,145,44,71,71,42,3,3
"1032",2008-10-28,86,34,69,67,37,1,0
"1033",2008-10-29,136,33,66,67,42,0,0
"1034",2008-10-30,136,36,70,69,35,1,0
"1035",2008-10-31,153,61,76,71,48,6,4
"1036",2008-11-01,173,78,65,54,32,12,0
"1037",2008-11-02,107,63,57,34,28,2,1
"1038",2008-11-03,114,36,80,71,27,3,0
"1039",2008-11-04,104,38,56,45,31,2,0
"1040",2008-11-05,126,52,68,84,37,1,1
"1041",2008-11-06,146,44,72,68,30,4,0
"1042",2008-11-07,141,52,88,82,41,1,1
"1043",2008-11-08,118,70,55,56,37,3,3
"1044",2008-11-09,111,60,70,33,29,3,2
"1045",2008-11-10,112,40,81,76,46,3,1
"1046",2008-11-11,104,29,59,55,34,1,2
"1047",2008-11-12,134,42,91,73,38,1,1
"1048",2008-11-13,113,34,62,80,28,4,0
"1049",2008-11-14,133,39,82,74,26,4,1
"1050",2008-11-15,141,46,67,52,34,4,2
"1051",2008-11-16,87,46,64,37,33,2,1
"1052",2008-11-17,115,33,81,67,31,3,3
"1053",2008-11-18,140,29,56,61,26,2,2
"1054",2008-11-19,123,28,60,66,40,3,1
"1055",2008-11-20,152,19,86,88,24,6,0
"1056",2008-11-21,143,50,60,84,45,0,2
"1057",2008-11-22,114,50,48,54,36,3,3
"1058",2008-11-23,83,37,51,34,28,3,3
"1059",2008-11-24,125,42,89,81,34,2,0
"1060",2008-11-25,133,25,74,60,33,4,1
"1061",2008-11-26,135,30,59,67,29,5,1
"1062",2008-11-27,60,39,24,38,28,5,2
"1063",2008-11-28,143,29,81,61,40,3,2
"1064",2008-11-29,116,45,74,49,32,2,0
"1065",2008-11-30,88,43,55,35,25,5,0
"1066",2008-12-01,207,46,72,74,41,14,3
"1067",2008-12-02,127,26,69,75,27,2,2
"1068",2008-12-03,129,27,56,80,32,1,1
"1069",2008-12-04,117,37,72,61,28,3,0
"1070",2008-12-05,131,21,80,84,42,2,2
"1071",2008-12-06,107,54,49,41,32,4,0
"1072",2008-12-07,85,54,56,29,33,5,1
"1073",2008-12-08,122,38,57,73,27,0,1
"1074",2008-12-09,140,40,74,65,34,0,0
"1075",2008-12-10,148,31,77,84,39,4,0
"1076",2008-12-11,117,35,77,63,40,4,0
"1077",2008-12-12,156,28,66,84,36,3,0
"1078",2008-12-13,128,59,40,49,23,3,2
"1079",2008-12-14,89,44,62,31,31,1,0
"1080",2008-12-15,152,32,68,68,37,1,1
"1081",2008-12-16,127,39,80,56,25,0,0
"1082",2008-12-17,132,40,72,62,23,4,1
"1083",2008-12-18,154,33,78,62,27,2,0
"1084",2008-12-19,134,25,71,73,21,1,1
"1085",2008-12-20,117,43,59,56,26,1,2
"1086",2008-12-21,112,48,52,30,29,2,2
"1087",2008-12-22,109,34,72,71,40,5,0
"1088",2008-12-23,147,29,96,73,33,0,0
"1089",2008-12-24,109,33,66,70,37,0,2
"1090",2008-12-25,50,61,41,34,26,4,2
"1091",2008-12-26,123,57,68,61,40,1,5
"1092",2008-12-27,106,50,45,50,40,6,3
"1093",2008-12-28,88,62,66,42,36,1,2
"1094",2008-12-29,129,44,77,55,40,1,2
"1095",2008-12-30,97,34,52,60,28,3,3
"1096",2008-12-31,132,23,65,69,36,6,4
"1097",2009-01-01,164,91,45,28,27,36,2
"1098",2009-01-02,88,38,62,50,28,1,0
"1099",2009-01-03,91,48,65,41,33,4,1
"1100",2009-01-04,68,35,39,20,27,2,0
"1101",2009-01-05,122,36,59,59,34,0,0
"1102",2009-01-06,104,27,48,50,23,3,1
"1103",2009-01-07,92,19,58,69,36,3,1
"1104",2009-01-08,114,36,59,67,25,1,1
"1105",2009-01-09,133,30,62,69,34,3,0
"1106",2009-01-10,83,35,46,36,23,3,2
"1107",2009-01-11,74,36,34,17,17,2,2
"1108",2009-01-12,107,38,54,75,32,1,1
"1109",2009-01-13,110,55,67,54,37,2,2
"1110",2009-01-14,114,33,51,57,35,2,0
"1111",2009-01-15,91,36,45,52,32,3,0
"1112",2009-01-16,124,35,63,52,35,3,1
"1113",2009-01-17,90,50,46,34,35,2,0
"1114",2009-01-18,78,48,51,40,33,2,2
"1115",2009-01-19,66,35,40,32,27,4,2
"1116",2009-01-20,99,31,64,43,34,3,1
"1117",2009-01-21,95,38,54,53,31,2,1
"1118",2009-01-22,93,33,41,53,25,4,1
"1119",2009-01-23,116,51,78,63,41,3,1
"1120",2009-01-24,97,44,57,36,41,2,1
"1121",2009-01-25,68,33,48,29,29,3,0
"1122",2009-01-26,71,45,58,58,32,0,0
"1123",2009-01-27,92,20,52,53,30,4,1
"1124",2009-01-28,92,23,49,41,25,2,2
"1125",2009-01-29,100,37,52,51,27,3,0
"1126",2009-01-30,103,38,50,58,30,6,1
"1127",2009-01-31,105,29,33,44,27,2,1
"1128",2009-02-01,121,54,39,23,35,9,2
"1129",2009-02-02,112,31,54,64,20,3,1
"1130",2009-02-03,79,36,37,49,18,1,0
"1131",2009-02-04,83,45,42,49,17,3,0
"1132",2009-02-05,76,19,40,31,20,1,0
"1133",2009-02-06,91,30,37,64,24,1,0
"1134",2009-02-07,93,48,55,42,29,6,4
"1135",2009-02-08,85,54,43,31,26,2,2
"1136",2009-02-09,81,47,58,43,21,1,0
"1137",2009-02-10,130,26,43,55,19,3,3
"1138",2009-02-11,103,36,52,58,23,0,1
"1139",2009-02-12,95,30,49,54,34,3,1
"1140",2009-02-13,119,40,50,67,30,2,2
